Geneid	SRR17869115	SRR17869118	SRR17869121	SRR17869116	SRR17869119	SRR17869122
12483	142	154	169	147	109	177
12484	54	81	140	20	27	161
12487	58	54	182	64	45	218
12488	2053	1619	1084	2478	1773	1192
12489	2707	2488	3830	2229	3769	4371
12490	3	3	4	0	0	6
12491	1062	549	275	1699	437	288
12492	6590	4594	5697	6206	3912	6366
12493	2683	1867	4309	2665	2076	4941
12494	8758	11241	10669	4986	11890	12135
12495	946	2338	815	562	977	906
12496	0	0	0	0	1	0
12497	341	219	291	337	222	305
12499	272	240	481	277	222	591
12500	0	0	0	0	0	0
12501	0	0	0	0	0	0
12502	0	0	0	0	0	0
12503	2	4	6	2	9	7
12504	27	52	191	66	37	202
12505	7689	5200	2968	4300	4960	3546
12506	2146	1586	3938	2491	1725	4538
12507	4	4	6	1	3	5
12508	13466	11916	8371	11430	9239	9669
12509	26	24	60	40	21	61
12511	0	0	1	0	1	2
12512	12523	10393	14358	11558	9004	16421
12514	13092	9540	16564	12060	8412	19488
12515	1203	1122	31	1269	1568	49
12516	0	0	0	0	0	0
12517	7890	4553	4541	9135	5885	5020
12518	4	0	7	2	1	1
12519	711	767	365	393	485	430
12520	1495	1572	2037	1375	1501	2487
12521	4388	3544	2729	4254	4023	3208
12522	588	972	154	116	566	158
12523	5008	3910	7394	5519	3684	8568
12524	4495	6996	738	2247	3831	804
12525	0	0	0	1	0	0
12526	0	0	0	0	0	0
12527	4753	5854	5059	2375	3030	5688
12530	376	283	312	376	308	405
12531	118	135	221	150	81	251
12532	1	1	5	2	0	13
12534	205	187	182	198	126	240
12537	1601	1669	1868	1648	1487	1902
12539	4236	3168	3498	4329	3578	3991
12540	16032	12417	12992	15842	12484	14510
12544	57	80	129	60	53	125
12545	14	23	31	11	12	32
12549	3477	3227	3288	3558	3201	3450
12550	0	0	0	0	2	0
12552	2	5	11	7	2	4
12554	0	0	0	1	0	0
12555	0	0	0	0	0	0
12556	0	0	1	0	0	0
12557	0	0	0	0	0	0
12558	0	0	1	0	0	3
12560	0	0	0	1	0	0
12561	1	0	0	0	0	0
12562	3	2	2	4	2	3
12563	118	65	33	124	101	36
12564	0	0	0	0	0	0
12565	0	0	0	0	0	0
12566	755	596	624	673	571	738
